,id,title,release_year,age_certification,runtime,production_countries,imdb_score
177,tm91952,Mean Girls,2004,PG-13,97,"['CA', 'US']",7.1
178,tm111828,Catch Me If You Can,2002,PG-13,141,['US'],8.1
179,tm150112,Old School,2003,R,88,['US'],7.0
180,tm80906,Anchorman: The Legend of Ron Burgundy,2004,PG-13,95,['US'],7.1
181,tm92641,Inception,2010,PG-13,148,"['US', 'GB']",8.8
182,tm27911,The Departed,2006,R,151,['US'],8.5
183,tm88465,Insidious,2010,PG-13,103,"['CA', 'US']",6.8
184,tm172683,War of the Worlds,2005,PG-13,117,['US'],6.5
185,tm42877,Wanted,2008,R,110,"['DE', 'US']",6.7
186,tm39030,Casino Royale,2006,,144,"['DE', 'GB', 'US', 'BS', 'CZ']",8.0
187,tm997728,Blade Runner: The Final Cut,2007,R,117,['US'],
188,tm89677,The Terminal,2004,PG-13,128,['US'],7.4
189,tm78592,Michael Clayton,2007,R,114,['US'],7.2
190,tm105329,Road to Perdition,2002,R,117,['US'],7.7
191,tm139658,Big Fish,2003,PG-13,125,['US'],8.0
192,tm26327,The Hurt Locker,2008,R,131,['US'],7.5
193,tm95477,Troy,2004,R,163,"['MT', 'GB', 'US']",7.3
194,tm154187,Sherlock Holmes,2009,PG-13,129,"['AU', 'DE', 'GB', 'US']",7.6
195,tm133767,Love Actually,2003,R,135,"['GB', 'US']",7.6
196,tm45454,Get Smart,2008,PG-13,110,['US'],6.5
197,tm26897,Quantum of Solace,2008,PG-13,106,"['GB', 'US']",6.6
198,tm133374,The Blind Side,2009,PG-13,129,['US'],7.6
199,tm195620,Apocalypse Now Redux,2001,R,196,['US'],
200,tm136808,Identity,2003,R,90,['US'],7.3
201,tm70807,I Am Legend,2007,PG-13,101,['US'],7.2
202,tm93055,Grown Ups,2010,PG-13,102,['US'],5.9
203,tm85811,The Girl Next Door,2004,,110,['US'],6.7
204,tm101914,The Fighter,2010,R,115,['US'],
205,tm131038,Public Enemies,2009,R,140,"['US', 'JP']",7.0
206,tm58382,Not Another Teen Movie,2001,R,89,['US'],5.7
207,tm35463,Blow,2001,R,124,['US'],7.5
208,tm30603,Hancock,2008,PG-13,92,['US'],6.4
209,tm20959,The Pursuit of Happyness,2006,PG-13,117,['US'],8.0
210,tm136308,Monster,2003,R,110,['US'],7.3
211,tm29737,Rambo,2008,R,92,"['DE', 'US']",7.0
212,tm148270,Something's Gotta Give,2003,PG-13,128,['US'],6.7
213,tm89036,Harold & Kumar Go to White Castle,2004,R,83,['US'],7.0
214,tm46436,Thir13en Ghosts,2001,R,91,"['CA', 'US']",5.6
215,tm150260,Cloudy with a Chance of Meatballs,2009,PG,90,['US'],6.9
216,tm79895,Halloween,2007,R,109,['US'],6.0
217,tm116324,Jackass: The Movie,2002,R,88,['US'],6.6
218,tm39828,Semi-Pro,2008,R,94,['US'],5.8
219,tm23935,The Lake House,2006,PG,99,['US'],6.8
220,tm78067,The Girl Next Door,2007,R,91,['US'],6.5
221,tm95252,The Book of Eli,2010,R,118,['US'],6.8
222,tm32919,Blood Diamond,2006,R,143,"['DE', 'US']",8.0
223,tm169949,Just Like Heaven,2005,PG-13,95,['US'],6.7
224,tm30205,Ip Man,2008,R,106,['HK'],8.0
225,tm40009,21,2008,PG-13,123,['US'],6.8
226,tm141390,Friday the 13th,2009,R,97,['US'],5.5
