,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,crew
51,ts20604,Friday Night Lights,2006,TV-14,43,"['drama', 'sport']",['US'],5.0,8.7,65199.0,"['Kyle Chandler 4075 ACTOR', 'Connie Britton 6504 ACTOR', 'Aimee Teegarden 319 ACTOR', 'Michael B. Jordan 5358 ACTOR', 'Jurnee Smollett 31190 ACTOR', 'Dora Madison 6259 ACTOR', 'Grey Damon 12378 ACTOR', 'Matt Lauria 85647 ACTOR']"
52,ts20573,The IT Crowd,2006,TV-14,25,"['comedy', 'european']",['GB'],5.0,8.5,149586.0,"[""Chris O'Dowd 2144 ACTOR"", 'Richard Ayoade 18067 ACTOR', 'Katherine Parkinson 33795 ACTOR', 'Chris Morris 29980 ACTOR', 'Matt Berry 20098 ACTOR']"
53,ts22099,The Spectacular Spider-Man,2008,TV-Y7,22,"['action', 'animation', 'family', 'scifi', 'comedy']",['US'],2.0,8.3,14996.0,['Josh Keaton 12170 ACTOR']
54,ts21464,Zoey 101,2005,TV-G,25,"['drama', 'comedy', 'family', 'romance']",['US'],4.0,6.1,15808.0,"['Jamie Lynn Spears 100161 ACTOR', 'Paul Butcher 12052 ACTOR', 'Victoria Justice 28810 ACTOR', 'Christopher Massey 26406 ACTOR', 'Erin Sanders 86534 ACTOR', 'Matthew Underwood 110812 ACTOR', 'Austin Butler 84746 ACTOR']"
55,ts11313,DEATH NOTE,2006,TV-14,24,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']",['JP'],1.0,9.0,309445.0,"['Mamoru Miyano 85702 ACTOR', 'Noriko Hidaka 35985 ACTOR', 'Nozomu Sasaki 21512 ACTOR']"
56,ts21247,The Vampire Diaries,2009,TV-14,42,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",['US'],8.0,7.7,314422.0,"['Paul Wesley 4416 ACTOR', 'Ian Somerhalder 25402 ACTOR', 'Kat Graham 12683 ACTOR', 'Candice King 78618 ACTOR', 'Zach Roerig 84707 ACTOR', 'Michael Malarkey 84708 ACTOR', 'Matthew Davis 29353 ACTOR']"
57,ts20305,Naruto,2002,TV-PG,23,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']",['JP'],6.0,8.4,96729.0,"['Junko Takeuchi 57418 ACTOR', 'Noriaki Sugiyama 3978 ACTOR', 'Chie Nakamura 57417 ACTOR', 'Kazuhiko Inoue 57416 ACTOR', 'Hidekatsu Shibata 85701 ACTOR', 'Kōichi Tōchika 456969 ACTOR', 'Yōichi Masukawa 57658 ACTOR', 'Masashi Ebara 88320 ACTOR', 'Yukari Tamura 106872 ACTOR', 'Ryoka Yuzuki 57655 ACTOR', 'Showtaro Morikubo 30774 ACTOR', 'Kentaro Ito 57654 ACTOR', 'Shinji Kawada 57659 ACTOR', 'Nana Mizuki 389 ACTOR', 'Kohsuke Toriumi 57656 ACTOR', 'Hideo Ishikawa 30777 ACTOR', 'Tomoyuki Dan 39911 ACTOR', 'Akira Ishida 58641 ACTOR', 'Toshihiko Seki 61030 ACTOR', 'Nobutoshi Canna 86003 ACTOR', 'Kujira 88322 ACTOR', 'Hochu Otsuka 88323 ACTOR', 'Keiko Nemoto 408394 ACTOR', 'Rumi Rakugou 685298 ACTOR', 'Romi Park 388 ACTOR', 'Jurota Kosugi 84492 ACTOR', 'Kouyori Katase 685266 ACTOR', 'Masako Katsuki 61033 ACTOR', 'Hayato Date 606531 DIRECTOR']"
58,ts21511,My Little Pony: Friendship Is Magic,2010,TV-Y7,22,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']","['CA', 'US']",9.0,7.6,20910.0,"['Tara Strong 20372 ACTOR', 'Andrea Libman 34838 ACTOR', 'Ashleigh Ball 34837 ACTOR', 'Tabitha St. Germain 12376 ACTOR', 'Cathy Weseluck 24445 ACTOR', 'Michelle Creber 34842 ACTOR', 'Claire Margaret Corlett 88319 ACTOR', 'Madeleine Peters 12379 ACTOR', 'Nicole Oliver 34839 ACTOR', 'Peter New 34843 ACTOR', 'Brenda Crichlow 19510 ACTOR', 'Chantal Strand 35702 ACTOR', 'Shannon Chan-Kent 37939 ACTOR', 'Brian Drummond 34966 ACTOR', 'Rebecca Shoichet 27834 ACTOR', 'Kazumi Evans 27827 ACTOR']"
59,ts17942,Chappelle's Show,2003,TV-14,21,"['comedy', 'music']",['US'],3.0,8.8,63107.0,['Dave Chappelle 14896 ACTOR']
60,ts30311,Victorious,2010,TV-G,25,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",['US'],4.0,6.9,24838.0,"['Victoria Justice 28810 ACTOR', 'Leon G. Thomas III 15292 ACTOR', 'Matt Bennett 8588 ACTOR', 'Elizabeth Gillies 50747 ACTOR', 'Ariana Grande 61867 ACTOR', 'Avan Jogia 44346 ACTOR']"
61,ts22267,Trailer Park Boys,2001,TV-MA,25,"['comedy', 'crime']",['CA'],12.0,8.6,42733.0,"['John Paul Tremblay 65831 ACTOR', 'Robb Wells 31988 ACTOR', 'John Dunsworth 66201 ACTOR', 'Patrick Roach 65832 ACTOR', 'Sarah Dunsworth 66203 ACTOR', 'Tyrone Parsons 66207 ACTOR', 'Mike Smith 65830 ACTOR']"
62,ts2230,America's Next Top Model,2003,TV-14,44,['reality'],['US'],24.0,5.6,17905.0,"['Tyra Banks 13781 ACTOR', 'Drew Elliott 627304 ACTOR', 'Law Roach 627300 ACTOR', 'Ashley Graham 112727 ACTOR']"
63,ts19036,The Fairly OddParents,2001,TV-Y7,23,"['comedy', 'scifi', 'animation', 'family', 'fantasy']","['CA', 'US']",10.0,7.2,38046.0,"['Tara Strong 20372 ACTOR', 'Susanne Blakeslee 19830 ACTOR', 'Daran Norris 15671 ACTOR', 'Carlos Alazraqui 6653 ACTOR', 'Jim Ward 5649 ACTOR', 'Gary LeRoi Gray 86532 ACTOR', 'Grey DeLisle 14142 ACTOR', 'Kari Wahlgren 14143 ACTOR']"
64,ts22456,Ned's Declassified School Survival Guide,2004,TV-G,25,"['family', 'comedy']",['US'],3.0,7.4,17864.0,"['Devon Werkheiser 55900 ACTOR', 'Lindsey Shaw 70345 ACTOR', 'Daniel Curtis Lee 23828 ACTOR', 'Daran Norris 15671 ACTOR']"
65,ts22018,iCarly,2007,TV-G,26,"['comedy', 'family', 'romance']",['US'],6.0,6.7,38877.0,"['Miranda Cosgrove 4882 ACTOR', 'Jennette McCurdy 55674 ACTOR', 'Nathan Kress 76437 ACTOR', 'Jerry Trainor 25147 ACTOR', 'Noah Munck 81479 ACTOR']"
66,ts21197,Merlin,2008,TV-PG,44,"['action', 'drama', 'scifi', 'fantasy', 'european']",['GB'],5.0,7.9,80927.0,"['Colin Morgan 1744 ACTOR', 'Angel Coulby 25967 ACTOR', 'Bradley James 86697 ACTOR', 'Katie McGrath 33451 ACTOR', 'Richard Wilson 34824 ACTOR', 'John Hurt 4824 ACTOR']"
67,ts21544,Transformers: Prime,2010,TV-Y7,22,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']",['US'],4.0,7.9,6636.0,"['Peter Cullen 3062 ACTOR', 'Jeffrey Combs 3059 ACTOR', 'Frank Welker 529 ACTOR', 'Tania Gunadi 85692 ACTOR', 'Josh Keaton 12170 ACTOR', 'Kevin Michael Richardson 7997 ACTOR', 'Ernie Hudson 8410 ACTOR', 'Andy Pessoa 85693 ACTOR', 'Sumalee Montano 29277 ACTOR']"
68,ts31263,The Mole,2001,TV-14,47,['reality'],"['BE', 'US']",5.0,7.6,1155.0,['Jon Kelley 205217 ACTOR']
69,ts30313,Offspring,2010,,44,"['drama', 'comedy']",['AU'],7.0,8.3,4880.0,"['Asher Keddie 53092 ACTOR', 'Kat Stewart 87094 ACTOR', 'Richard Davies 96218 ACTOR', 'Linda Cropper 96219 ACTOR', 'Jane Harber 96220 ACTOR', 'Alicia Gardiner 96221 ACTOR', 'Eddie Perfect 172811 ACTOR']"
