Unnamed: 0,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,,history,sport,war,horror,romance,crime,reality,music,comedy,thriller,european,family,fantasy,western,animation,documentation,scifi,drama,action
2276,tm924991,Death of Me,2020,R,95,"['horror', 'thriller']","['US', 'TH']",,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2277,tm893799,Lost Bullet,2020,,92,"['thriller', 'action', 'crime']","['BE', 'FR']",,6.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2278,tm430171,Screwball,2019,,105,"['history', 'documentation']",['US'],,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2279,tm848996,Tigertail,2020,PG,91,['drama'],['US'],,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2280,tm846964,A Fall from Grace,2020,,120,"['thriller', 'drama', 'fantasy']",['US'],,5.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2281,tm902330,Ghosts of War,2020,R,94,"['war', 'fantasy', 'horror', 'thriller']",['GB'],,5.5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2282,tm450478,Under the Eiffel Tower,2019,,87,"['romance', 'comedy']",['US'],,5.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2283,tm826563,A Cinderella Story: Christmas Wish,2019,PG,93,"['music', 'romance', 'fantasy', 'comedy']",['US'],,5.3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2284,tm500565,Friendsgiving,2020,R,95,"['comedy', 'drama']",['US'],,4.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2285,tm887369,Jerry Seinfeld: 23 Hours to Kill,2020,,60,['comedy'],['US'],,6.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2286,tm844642,Michelle Wolf: Joke Show,2019,,59,['comedy'],['US'],,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
